[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     AAF.esm
[08]     TortureDevices.esm
[09]     behSlaveMarket.esm
[0A]     HUDFramework.esm
[0B]     WorkshopFramework.esm
[0C]     ProjectHelljumper.esm
[0D]     TacticalReload.esm
[0E]     Unofficial Fallout 4 Patch.esp
[0F]     XDI.esm
[10]     Companion Infinite Ammo and Unbreakable Power Armour.esm
[11]     VotWMaster.esm
[12]     JonsMod.esm
[13]     CompanionIvy.esm
[14]     A Forest.esp
[15]     AA Better Companions - No Conflicts - Accuracy Beta.esp
[16]     AA LMSE_FarHarbor.esp
[17]     AA Lots More Settlers and Enemies.esp
[18]     AAF_CreaturePack01.esp
[19]     AAF_CreaturePack02DLC.esp
[1A]     AAF_Violate.esp
[1B]     AdvSettleTurretSet.esp
[1C]     AkaWaterWorld.esp
[1D]     AmazingFollowerTweaks.esp
[1E]     AnimatedCandles.esp
[1F]     ApalLeotard.esp
[20]     AQUILA.esp
[21]     Archimedes-II.esp
[22]     Atomic Lust.esp
[23]     BeastMaster_ExoticCreaturesPatch.esp
[24]     BeastWhisperer.esp
[25]     BLD_Barricades.esp
[26]     BOCWNailGun.esp
[27]     BodyTalk3-LooksMenu.esp
[28]     Bostonpolice.esp
[29]     Buzz_Axe.esp
[2A]     CarryWeight99999.esp
[2B]     CBBE.esp
[2C]     CCOCheekyCasualsCraftable.esp
[2D]     CCOFoxyFactionsCraftable.esp
[2E]     CCOSaucySettlersCraftable.esp
[2F]     CCOVulgarVillainsCraftable.esp
[30]     Chainsaw.esp
[31]     Chainsaw_LL.esp
[32]     ChiappaTripleThreat.esp
[33]     Clothes Pack 3 by DonEb14n.esp
[34]     Clothes Pack 4 by DonEb14n.esp
[35]     Clothes Pack 5 by DonEb14n.esp
[36]     Clothes Pack v2.0 by DonEb14n.esp
[37]     CombinedArmsEXPack.esp
[38]     CombinedArmsNV.esp
[39]     CorvalhoWidowShotgun.esp
[3A]     CROSS_Jetpack.esp
[3B]     Cyberpunk 2077 G-58 Dian.esp
[3C]     dD-Enhanced Blood Basic.esp
[3D]     drm1981_PinkPrincessOutfit.esp
[3E]     DX_FetishFashion_Part1.esp
[3F]     DX_FetishFashion_Part2.esp
[40]     DX_NaughtySecretary.esp
[41]     DX_Pornstar_Fashion.esp
[42]     DX_StLouis.esp
[43]     EG7.esp
[44]     el_precursorsuit.esp
[45]     Eli_NukaStuff.esp
[46]     ENBLightsHDRPatch.esp
[47]     EnclaveX02.esp
[48]     EnhancedLightsandFX.esp
[49]     ExcavatorPA.esp
[4A]     ExoticWorkshopCreatures.esp
[4B]     Factor.esp
[4C]     FalloutKensei.esp
[4D]     FalloutSamurai.esp
[4E]     FatherCompanion.esp
[4F]     FEAR.esp
[50]     FnScar.esp
[51]     FOLON-StandaloneReleaser.esp
[52]     Fusion Gun.esp
[53]     GatlingRifle-Commando.esp
[54]     GatlingRifle.esp
[55]     GaussRevolver.esp
[56]     Genjiroh.esp
[57]     GIAT_FAMAS.esp
[58]     Grasslands - Healthy.esp
[59]     HumanResources.esp
[5A]     InstitutePowerArmor.esp
[5B]     InstituteReformation.esp
[5C]     IWftlPistol.esp
[5D]     IWSynaptic.esp
[5E]     JOKR.esp
[5F]     KaoruVargasPaintings01.esp
[60]     Kbar-32.esp
[61]     Keep Radiants In Commonwealth.esp
[62]     KSHairdos.esp
[63]     kudemborotmantis.esp
[64]     LightsaberMod.esp
[65]     LooksMenu.esp
[66]     M1Garand.esp
[67]     M203.esp
[68]     M2045MagnumRevolverRifle.esp
[69]     MidWest PA.esp
[6A]     Mike32.esp
[6B]     Mk41GyrojetHMG.esp
[6C]     MsAutomatronPartsCollection.esp
[6D]     MTs255.esp
[6E]     Mutated Lust.esp
[6F]     MWAUG.esp
[70]     MWIIChimera.esp
[71]     MWM91.esp
[72]     MWMpapa5.esp
[73]     MWPP19.esp
[74]     MyCart_Biohazard.esp
[75]     NAC-FH.esp
[76]     NAC-NW.esp
[77]     NAC.esp
[78]     NanoSuit.esp
[79]     New Landscape Grass v4 Light .esp
[7A]     Nox Outfit.esp
[7B]     NV4.esp
[7C]     officersRevolver.esp
[7D]     OSIPR.esp
[7E]     PigAAM1897.esp
[7F]     PowerArmorLite.esp
[80]     ProjectHelljumper.esp
[81]     RealHandcuffs.esp
[82]     REAPER.esp
[83]     RedShiftPowerArmor.esp
[84]     Reverb and Ambiance Overhaul.esp
[85]     RideableDeathClaws.esp
[86]     RoadSignAxe.esp
[87]     Rufgt's Animations.esp
[88]     Sandbag Fortifications - Version 2C.esp
[89]     sarahRageArmor.esp
[8A]     Scopes.esp
[8B]     Secret Service Armor.esp
[8C]     SelectShotgun.esp
[8D]     SlaveTattoos.esp
[8E]     SovietPowerArmor.esp
[8F]     StartMeUp.esp
[90]     StartMeUpNukaWorldPatch.esp
[91]     Strela-P.esp
[92]     SuitDreams(1.Very Light).esp
[93]     SuitDreams(2. Light).esp
[94]     SuitDreams(3.Average).esp
[95]     SuitDreams(4.Heavy).esp
[96]     SuitDreams(5.Very Heavy).esp
[97]     T-51C Power Armor.esp
[98]     tank_PA - tAE.esp
[99]     tank_PA.esp
[9A]     TCS sportswear.esp
[9B]     The Eyes Of Beauty.esp
[9C]     TheKite_CaitSet.esp
[9D]     TheStaffmaster.esp
[9E]     tumbajamba Advanced Engineering.esp
[9F]     UltraInteriorLighting.esp
[A0]     Vadermania[AAF_anims].esp
[A1]     Vaker.esp
[A2]     Vault-Tec Mask.esp
