[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     ccrzrfo4001-tunnelsnakes.esm
[08]     ccswkfo4001-astronautpowerarmor.esm
[09]     cczsef04001-bhouse.esm
[0A]     cctosfo4001-neosky.esm
[0B]     cczsefo4002-smanor.esm
[0C]     cctosfo4002_neonflats.esm
[0D]     Unofficial Fallout 4 Patch.esp
[0E]     HUDFramework.esm
[0F]     ArmorKeywords.esm
[10]     workshopframework.esm
[11]     AdditionalAmmoTypes.esm
[12]     ExtendedWeaponSystem.esm
[13]     NoraSpouse.esm
[14]     MutantMenagerie.esm
[15]     MutantMenagerie_FarHarbor.esm
[16]     Armament.esp
[17]     TacticalReload.esm
[18]     SS2.esm
[19]     SS2_XPAC_Chapter2.esm
[1A]     ProjectHelljumper.esm
[1B]     MutantMenagerie_NukaWorld.esm
[1C]     LightSupportWeapon.esp
[1D]     Glock19x.esp
[1E]     Krebs.esp
[1F]     Mark V[B] Redux.esp
[20]     Mark V[B] Armory.esp
[21]     CROSS_GoreCrits.esp
[22]     LooksMenu Customization Compendium.esp
[23]     EasyHacking.esp
[24]     ss2_cityplanpack_riseofthecommonwealth.esp
[25]     NukaWorldPlus.esp
[26]     3dnpc_fo4.esp
[27]     NoraSpouseFarHarbor.esp
[28]     Armorsmith Extended.esp
[29]     CombinedArmsNV.esp
[2A]     CombinedArmsEXPack.esp
[2B]     mojaveimports.esp
[2C]     Be Exceptional.esp
[2D]     T6M_PerksPack.esp
[2E]     castlewallsrepaired 3.esp
[2F]     america rising - a tale of the enclave.esp
[30]     Eli_Armour_Compendium.esp
[31]     cheaters den.esp
[32]     Lowered Drawbridges.esp
[33]     W.A.T.Minutemen.esp
[34]     HumblePerksPack.esp
[35]     3dnpc_fo4_dlc.esp
[36]     Quad_Accelerator.esp
[37]     AmazingFollowerTweaks.esp
[38]     NightstrikerCreatureMod.esp
[39]     cheatterminal.esp
[3A]     M2_Flamethrower_2.2.esp
[3B]     MWRam7.esp
[3C]     Eli_Gunslinger.esp
[3D]     American180nv.esp
[3E]     AX50.esp
[3F]     Scopes.esp
[40]     FOrigin12.esp
[41]     ImiUzi.esp
[42]     Quad_Fusillade.esp
[43]     KrissVector.esp
[44]     M2Agency.esp
[45]     [MW2R] Shadow Company.esp
[46]     MP-412.esp
[47]     McMillanCS5.esp
[48]     Mossberg500.esp
[49]     Quad_RAWLauncher.esp
[4A]     MWM4.esp
[4B]     AA12.esp
[4C]     Mercenary.esp
[4D]     Floaters.esp
[4E]     EG7.esp
[4F]     MA37.esp
[50]     MisriahArmory.esp
[51]     Remington.esp
[52]     Jackhammer.esp
[53]     TraumaOverrideHarness.esp
[54]     Ak5C.esp
[55]     vivid weathers - fo4.esp
[56]     HaxRPG7.esp
[57]     1CAS_ServiceRifle.esp
[58]     The Eyes Of Beauty.esp
[59]     TheEyesOfBeauty.esp
[5A]     ChineseStealthSuit.esp
[5B]     CROSS_Cybernetics.esp
[5C]     CROSS_Jetpack.esp
[5D]     M1014.esp
[5E]     M1014- AWKCR Compatibility.esp
[5F]     Eli_ArmourCollection.esp
[60]     DOOMMAC11.esp
[61]     AN94.esp
[62]     DOOMSCARLK.esp
[63]     Factor.esp
[64]     ReconPack.esp
[65]     RussianAssaultPack.esp
[66]     OTs33Pernach.esp
[67]     MG42.esp
[68]     Military Gorka Suit.esp
[69]     Galac-TactREDUX.esp
[6A]     BOS_overhaul.esp
[6B]     CorpusPraesidium.esp
[6C]     RemingtonM11.esp
[6D]     APC9.esp
[6E]     Stalker Suit.esp
[6F]     PanzerRiotarmor.esp
[70]     BZW_SWAT.esp
[71]     Rebel Camo Pack.esp
[72]     Haven_Trooper.esp
[73]     BZW_Executioner.esp
[74]     Infinite Armory.esp
[75]     Inst_Exoskeleton_R-20.esp
[76]     BZW_Reaper.esp
[77]     Delta.esp
[78]     DeathTrooperSuit.esp
[79]     DCWestSuperMutants.esp
[7A]     DualSurvivors.esp
[7B]     DualSurvivors_additionaldialogue.esp
[7C]     ManualReload.esp
[7D]     HsProduktVhs2.esp
[7E]     HoneyBadger.esp
[7F]     ImiGalil.esp
[80]     GrenadeLauncherStandalone.esp
[81]     Toz194.esp
[82]     MWM91.esp
[83]     DSR 50.esp
[84]     SA80.esp
[85]     MjolnirMKVB.esp
[86]     ProjectHelljumper.esp
[87]     MisriahArmoryExtended.esp
[88]     pulsecarbine.esp
[89]     saya_scar.esp
[8A]     ClassicBehemoth.esp
[8B]     DCMolerats.esp
[8C]     KSHairdos.esp
[8D]     Synth Overhaul.esp
[8E]     PKMnv.esp
[8F]     Noble Team Companions.esp
[90]     CorvalhoWidowShotgun.esp
[91]     SS2Extended.esp
[92]     9mmPistol.esp
[93]     Modern Firearms.esp
[94]     MFarmsdealerV2.esp
[95]     F4NVServiceRifleRedux.esp
[96]     FallEvil - Complete Edition.esp
[97]     mk14.esp
[98]     MK18.esp
[99]     Tactical ACR.esp
[9A]     AER15.esp
[9B]     Wana_SA58.esp
[9C]     G43.esp
[9D]     Jericho 941.esp
[9E]     CAWS.esp
[9F]     Remington 1858.esp
[A0]     p99.esp
[A1]     Mauser.esp
[A2]     CWCreateABot.esp
[A3]     ss2wastelandventurers.esp
[A4]     M1Garand.esp
[A5]     SkibsWeapons-REDUX.esp
[A6]     M1928A1.esp
[A7]     M1Garand - AWKCR.esp
[A8]     MAS38.esp
[A9]     CZ75B.esp
[AA]     VarmintRifle.esp
[AB]     02_M520.esp
