[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     XDI.esm
[08]     Unofficial Fallout 4 Patch.esp
[09]     WorkshopFramework.esm
[0A]     HUDFramework.esm
[0B]     SS2.esm
[0C]     SS2_XPAC_Chapter2.esm
[0D]     ArmorKeywords.esm
[0E]     CWPointLookoutFO4.esm
[0F]     Darlene.esm
[10]     SettlementKeywords.esm
[11]     CBBE.esp
[12]     SS2Extended.esp
[13]     SS2WastelandVenturers.esp
[14]     SS2_SIMPDDDD.esp
[15]     [SS20Addon] SimSettlements SuperStructures.esp
[16]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[17]     SS2-Jampads2.esp
[18]     SS2_ruined_simsettlement_addonpack.esp
[19]     JunkTownTwo.esp
[1A]     SS2-PraRandomAddon.esp
[1B]     SS2_Addon_R2R.esp
[1C]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[1D]     SS2_XDI Patch.esp
[1E]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[1F]     SS2WastelandReconstructionKit.esp
[20]     the library.esp
[21]     The House.esp
[22]     Vault4.esp
[23]     WilkesEstate.esp
[24]     Phase4DLC.esp
[25]     OutcastsAndRemnants.esp
[26]     ProjectValkyrie.esp
[27]     Depravity.esp
[28]     FatherCompanion.esp
[29]     Miami Misadventures EP1.esp
[2A]     3DNPC_FO4.esp
[2B]     Eli_Faction Housing Overhaul - AiO.esp
[2C]     FarHarborStory.esp
[2D]     DCGuard_Overhaul.esp
[2E]     KellyManor.esp
[2F]     OldTimeReligion.esp
[30]     Children of Ug Qualtoth.esp
[31]     Rsiyo'sLocationPack.esp
[32]     LimaOutpost.esp
[33]     Firelance2.5.esp
[34]     AtomicRadio.esp
[35]     Tina's Candy Land.esp
[36]     FlaconOil_BA2_Upto4K_Part1.esp
[37]     FlaconOil_BA2_Upto4K_Part2.esp
[38]     FlaconOil_BA2_Upto4K_Part3.esp
[39]     Langleys HD Texture Workshop.esp
[3A]     Minutemen Paint Job.esp
[3B]     OVT.esp
[3C]     Vivid Fallout - All in One - Best Choice.esp
[3D]     [ARRETH] FGEP.esp
[3E]     StoryWealth-eXoFGEPPatch.esp
[3F]     PD_LowerWeapon.esp
[40]     DLC Timing.esp
[41]     Scopes.esp
[42]     LooksMirror.esp
[43]     LooksMenu.esp
[44]     AzarPonytailHairstyles.esp
[45]     Eli_Armour_Compendium.esp
[46]     BetterSettlers.esp
[47]     BetterSettlersNoLollygagging.esp
[48]     RecruitableSettlers.esp
[49]     CheatTerminal.esp
[4A]     MoreVariedBodyShapesAndSkins.esp
[4B]     3DNPC_FO4Settler.esp
[4C]     InstituteSettlements2.esp
[4D]     SS2_FDK_TinyLiving.esp
[4E]     RecruitableSettlersFH.esp
[4F]     CreationClubDelay.esp
[50]     FO4 NPCs Travel.esp
[51]     PhotoMode.esp
[52]     SettlementMenuManager.esp
[53]     SkipHSH1_6.esp
[54]     TheEyesOfBeauty.esp
[55]     BTInteriors_Project.esp
[56]     Ketaros_Treasures.esp
[57]     KetPatch02.esp
[58]     KSHairdos.esp
[59]     3DNPC_FO4_DLC.esp
[5A]     EveryonesBestFriend.esp
[5B]     GCM.esp
[5C]     Hairstyles for Male and Female.esp
[5D]     HiPolyFaces.esp
[5E]     ImmersiveVendors.esp
[5F]     LooksMenu Customization Compendium.esp
[60]     KSHairdos_oel.esp
[61]     NPCSTRAVELFIXES.esp
[62]     OCDecorator.esp
[63]     Quieter Settlements - Contraptions.esp
[64]     Quieter Settlements - Wasteland Workshop.esp
[65]     RealNameSettlers.esp
[66]     RutahTattooPack_FO4.esp
[67]     KSHairdosExtra.esp
[68]     Cho1SS2FlagsMod.esp
[69]     The Eyes Of Beauty.esp
[6A]     Vault-Tec Workshop Overhaul Redux.esp
[6B]     Wasteland Heroines Replacer All in One_2.0.esp
[6C]     WorkingNCMachine.esp
[6D]     RNS-WSFW-CompPatch.esp
[6E]     cVc Dead Wasteland 6.esp
[6F]     cVc Dead Wasteland 6 DLC.esp
[70]     Realistic Roads - Black Asphalt.esp
[71]     Better Manufacturing.esp
[72]     EAMR.esp
[73]     PlayerComments.esp
[74]     UltraInteriorLighting.esp
[75]     A Forest.esp
[76]     SOTS.esp
[77]     WelcometoGoodneighbor.esp
[78]     Stm_DiamondCityExpansion.esp
[79]     CombatZoneRestored.esp
[7A]     ImmersiveGenericDialogues.esp
[7B]     PiperCaitCurieDialogueOverhaul.esp
[7C]     DeadlierDeathclaws.esp
[7D]     Armorsmith Extended.esp
[7E]     Better Locational Damage.esp
[7F]     Better Locational Damage - DLC_Far_Harbor.esp
[80]     SuperMutantRedux.esp
[81]     MojaveImports.esp
[82]     BetterFarHarbor_Open.esp
[83]     Goodneighbor Apartment.esp
[84]     RaiderOverhaul.esp
[85]     Some Assembly Required.esp
[86]     Raider Gang Extended NPC (Fixed & Cleaned).esp
[87]     InstituteStory.esp
[88]     AA 50 Ways To Die.esp
[89]     CourserCrusher.esp
[8A]     LAER.esp
[8B]     ClassicSniper.esp
[8C]     vftfromprydwen.esp
[8D]     llamaCompanionHeatherv2.esp
[8E]     0_Vault120.esp
[8F]     SettlementTidyBot.esp
[90]     AkaWaterWorld.esp
[91]     Creative Perks (everything).esp
[92]     CreativePerksPlus.esp
[93]     NAC.esp
[94]     NAC-FH.esp
[95]     NAC-NW.esp
[96]     weightless.esp
[97]     BetterJunkFences.esp
[98]     DLC items to manufacturing.esp
