X3DAudio1_7.dll                                  0x000000800000
MSVCP110.dll                                     0x000000810000
MSVCR110.dll                                     0x0000008C0000
flexRelease_x64.dll                              0x0000009A0000
cudart64_75.dll                                  0x000000AF0000
flexExtRelease_x64.dll                           0x000000B50000
nvToolsExt64_1.dll                               0x000000BB0000
GFSDK_SSAO_D3D11.win64.dll                       0x000000BC0000
GFSDK_GodraysLib.x64.dll                         0x000000C50000
f4se_steam_loader.dll                            0x000001EA0000
f4se_1_10_163.dll                                0x000002040000
achievements.dll                                 0x000002120000
ArmorPenetrationBugFix.dll                       0x000002160000
BakaMaxPapyrusOps.dll                            0x0000021B0000
BakaWaitAnywhere.dll                             0x000002260000
BakaScrapHeap.dll                                0x000005770000
BetterConsole.dll                                0x0000088A0000
Buffout4.dll                                     0x000008910000
ClassicHolsteredWeapons.dll                      0x00000A4A0000
ConsoleUtilF4.dll                                0x00000A550000
crafting_highlight_fix.dll                       0x00000BDD0000
GCBugFix.dll                                     0x00000BE20000
HighFPSPhysicsFix.dll                            0x00000D810000
Interior-NavCut-Fix.dll                          0x00000D8A0000
mcm.dll                                          0x00000F130000
MODExplorer.dll                                  0x00000F5D0000
Outfit-ReDress-Fix.dll                           0x00000F650000
RobCo_Patcher.dll                                0x000010ED0000
ShadowBoostFO4.dll                               0x0000127E0000
SprintStutteringFix.dll                          0x000014110000
WeaponDebrisCrashFix.dll                         0x000014130000
XDI.dll                                          0x000014150000
gameoverlayrenderer64.dll                        0x0000149C0000
XAudio2_7.dll                                    0x000014CD0000
steam_api64.dll                                  0x00003B400000
kernelbase.dll                                   0x00007B000000
kernel32.dll                                     0x00007B600000
steamclient64.dll                                0x000138000000
Fallout4.exe                                     0x000140000000
ntdll.dll                                        0x000170000000
bink2w64.dll                                     0x000180000000
winspool.drv                                     0x0001C4EE0000
SHELL32.dll                                      0x0001C69E0000
D3DCOMPILER_47.dll                               0x0001C8890000
msacm32.dll                                      0x0001C8B40000
msvcrt.dll                                       0x0001C8DB0000
api-ms-win-crt-utility-l1-1-0.dll                0x0001CD860000
api-ms-win-core-fibers-l1-1-1.dll                0x0001D97A0000
schannel.dll                                     0x0001DC810000
CRYPT32.dll                                      0x0001DD3F0000
ws2_32.dll                                       0x0001EC2B0000
hid.dll                                          0x0001F51E0000
secur32.dll                                      0x000201CF0000
setupapi.dll                                     0x00021A7E0000
api-ms-win-core-string-l1-1-0.dll                0x000226310000
rpcrt4.dll                                       0x000231AE0000
winepulse.drv                                    0x000236370000
DSOUND.DLL                                       0x000236DF0000
user32.dll                                       0x00023D820000
IPHLPAPI.DLL                                     0x000240030000
wbemprox.dll                                     0x0002419A0000
XINPUT1_3.dll                                    0x000253CC0000
api-ms-win-crt-runtime-l1-1-0.dll                0x000262250000
gdi32.dll                                        0x00026B4C0000
vcruntime140.dll                                 0x00026ED50000
oleaut32.dll                                     0x0002739C0000
Kerberos.dll                                     0x000274A50000
api-ms-win-crt-time-l1-1-0.dll                   0x00028BA60000
nsi.dll                                          0x00028DFA0000
dnsapi.dll                                       0x00029CFC0000
api-ms-win-core-datetime-l1-1-1.dll              0x00029EA80000
bcrypt.dll                                       0x0002D4D40000
rsaenh.dll                                       0x0002DE970000
shlwapi.dll                                      0x0002E3540000
ole32.dll                                        0x0002E8F10000
dxgi.dll                                         0x0002EDF00000
version.dll                                      0x0002F1FA0000
avrt.dll                                         0x0002F2930000
VCRUNTIME140_1.dll                               0x0002F7F20000
api-ms-win-core-localization-obsolete-l1-2-0.dll 0x0002FA030000
libvkd3d-shader-1.dll                            0x0002FCA80000
api-ms-win-crt-multibyte-l1-1-0.dll              0x0002FE110000
api-ms-win-crt-stdio-l1-1-0.dll                  0x00030A2C0000
api-ms-win-core-synch-l1-2-0.dll                 0x00030C980000
shcore.dll                                       0x0003126F0000
PSAPI.DLL                                        0x000316370000
combase.dll                                      0x000327020000
sechost.dll                                      0x00032A700000
ADVAPI32.dll                                     0x000330260000
mmdevapi.dll                                     0x000336850000
api-ms-win-crt-string-l1-1-0.dll                 0x00033EA00000
api-ms-win-crt-filesystem-l1-1-0.dll             0x000344840000
jsproxy.dll                                      0x000346BA0000
api-ms-win-crt-convert-l1-1-0.dll                0x000350A30000
api-ms-win-core-localization-l1-2-1.dll          0x000351680000
api-ms-win-crt-locale-l1-1-0.dll                 0x000355100000
WINHTTP.dll                                      0x000358120000
d3d11.dll                                        0x000359050000
api-ms-win-crt-math-l1-1-0.dll                   0x000360A80000
MSVCP140.dll                                     0x000360E10000
win32u.dll                                       0x000375610000
vulkan-1.dll                                     0x0003785E0000
concrt140.dll                                    0x0003871C0000
api-ms-win-crt-heap-l1-1-0.dll                   0x00039B510000
api-ms-win-core-file-l2-1-1.dll                  0x00039F580000
xinput1_4.dll                                    0x0003A93B0000
ucrtbase.dll                                     0x0003AF670000
imm32.dll                                        0x0003AFD00000
winevulkan.dll                                   0x0003B6DC0000
WINMM.dll                                        0x0003B8F00000
dbghelp.dll                                      0x0003BE590000
wineopenxr.dll                                   0x7F3F17AB0000
winex11.drv                                      0x7F3F5FB30000
lsteamclient.dll                                 0x7F3F66890000
