XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000074140000
steam_api64.dll                    0x000074150000
LL_fourPlay_1_10_163.dll           0x000180000000
BakaFramework.dll                  0x01BCA1B70000
wsfw_identifier.dll                0x01BCA9830000
Fallout4.exe                       0x7FF7B8CB0000
winmmbase.dll                      0x7FFCC74A0000
steamclient64.dll                  0x7FFCF65B0000
ResampleDmo.DLL                    0x7FFD02B20000
DSOUND.DLL                         0x7FFD02BE0000
XAudio2_7.dll                      0x7FFD034D0000
gameoverlayrenderer64.dll          0x7FFD03560000
XDI.dll                            0x7FFD036F0000
WmkActiveEffects.dll               0x7FFD03860000
SUP_F4SE.dll                       0x7FFD038E0000
PRKF.dll                           0x7FFD03B70000
Buffout4.dll                       0x7FFD03C00000
IPHLPAPI.DLL                       0x7FFD03F60000
PowerGridTools.dll                 0x7FFD04840000
po3_SpellPerkItemDistributorF4.dll 0x7FFD048B0000
flexRelease_x64.dll                0x7FFD049C0000
place.dll                          0x7FFD04B40000
f4ee.dll                           0x7FFD04BC0000
mcm.dll                            0x7FFD081F0000
gdiplus.dll                        0x7FFD08A30000
WINSPOOL.DRV                       0x7FFD08BF0000
hudextension.dll                   0x7FFD0FD70000
HighFPSPhysicsFix.dll              0x7FFD0FDC0000
ClassicHolsteredWeapons.dll        0x7FFD0FE50000
BakaScrapHeap.dll                  0x7FFD0FF00000
VCRUNTIME140_1.dll                 0x7FFD13330000
usvfs_x64.dll                      0x7FFD135F0000
Ghoulification.dll                 0x7FFD13B80000
ExtraItemInfo.dll                  0x7FFD13CE0000
BulletCountedReload.dll            0x7FFD14870000
GFSDK_SSAO_D3D11.win64.dll         0x7FFD14900000
ESPExplorer.dll                    0x7FFD149E0000
crafting_highlight_fix.dll         0x7FFD14A80000
MSVCR110.dll                       0x7FFD14AD0000
Secur32.dll                        0x7FFD14DE0000
PhotoMetadataHandler.dll           0x7FFD15D10000
MSVCP140.dll                       0x7FFD15FE0000
VCRUNTIME140.dll                   0x7FFD16070000
cudart64_75.dll                    0x7FFD17090000
enbhelperf4.dll                    0x7FFD17230000
GFSDK_GodraysLib.x64.dll           0x7FFD176B0000
flexExtRelease_x64.dll             0x7FFD17870000
MSVCP110.dll                       0x7FFD179E0000
bink2w64.dll                       0x7FFD17A90000
ClockWidget.dll                    0x7FFD17B20000
f4se_1_10_163.dll                  0x7FFD17C60000
textinputframework.dll             0x7FFD19560000
COMCTL32.dll                       0x7FFD1B6B0000
f4se_steam_loader.dll              0x7FFD1CDE0000
WININET.dll                        0x7FFD1E990000
Windows.UI.dll                     0x7FFD21900000
ALR.dll                            0x7FFD22100000
tier0_s64.dll                      0x7FFD222F0000
OneCoreCommonProxyStub.dll         0x7FFD22890000
AUDIOSES.DLL                       0x7FFD22C90000
MSIMG32.dll                        0x7FFD23650000
MMDevApi.dll                       0x7FFD23DC0000
amdihk64.dll                       0x7FFD242E0000
atidxx64.dll                       0x7FFD24370000
atiuxp64.dll                       0x7FFD262E0000
aticfx64.dll                       0x7FFD26410000
OneCoreUAPCommonProxyStub.dll      0x7FFD26740000
WINMM.dll                          0x7FFD26D90000
DbgHelp.dll                        0x7FFD27AE0000
CoreUIComponents.dll               0x7FFD29300000
VERSION.dll                        0x7FFD29960000
avrt.dll                           0x7FFD29B10000
directxdatabasehelper.dll          0x7FFD29BF0000
WINHTTP.dll                        0x7FFD29C80000
nvToolsExt64_1.dll                 0x7FFD2A990000
windowscodecs.dll                  0x7FFD2B280000
d3d11.dll                          0x7FFD2BCF0000
dcomp.dll                          0x7FFD2C450000
vstdlib_s64.dll                    0x7FFD2C6E0000
CoreMessaging.dll                  0x7FFD2CC30000
msdmo.dll                          0x7FFD2CF70000
PROPSYS.dll                        0x7FFD2D400000
apphelp.dll                        0x7FFD2D580000
UxTheme.dll                        0x7FFD2D9A0000
dxgi.dll                           0x7FFD2DB10000
dwmapi.dll                         0x7FFD2DC20000
dxcore.dll                         0x7FFD2DC90000
resourcepolicyclient.dll           0x7FFD2E010000
wintypes.dll                       0x7FFD2E330000
windows.storage.dll                0x7FFD2E470000
HID.DLL                            0x7FFD2ED40000
IpHlpAPI.dll                       0x7FFD2F050000
UMPDC.dll                          0x7FFD2F350000
powrprof.dll                       0x7FFD2F370000
kernel.appcore.dll                 0x7FFD2F5A0000
SSPICLI.DLL                        0x7FFD2F800000
MSWSOCK.dll                        0x7FFD2FA20000
CRYPTBASE.DLL                      0x7FFD2FC80000
MSASN1.dll                         0x7FFD2FCE0000
bcrypt.dll                         0x7FFD2FE40000
DEVOBJ.dll                         0x7FFD30130000
cfgmgr32.DLL                       0x7FFD30160000
profapi.dll                        0x7FFD303A0000
win32u.dll                         0x7FFD30470000
msvcp_win.dll                      0x7FFD304A0000
ucrtbase.dll                       0x7FFD30540000
bcryptPrimitives.dll               0x7FFD30660000
gdi32full.dll                      0x7FFD306E0000
KERNELBASE.dll                     0x7FFD30800000
CRYPT32.dll                        0x7FFD30C70000
WINTRUST.dll                       0x7FFD30DE0000
SETUPAPI.dll                       0x7FFD31080000
RPCRT4.dll                         0x7FFD31500000
WS2_32.dll                         0x7FFD31630000
USER32.dll                         0x7FFD316B0000
ole32.dll                          0x7FFD31860000
OLEAUT32.dll                       0x7FFD31A30000
shcore.dll                         0x7FFD31B10000
clbcatq.dll                        0x7FFD31C10000
MSCTF.dll                          0x7FFD31D50000
imagehlp.dll                       0x7FFD31E80000
combase.dll                        0x7FFD31EA0000
KERNEL32.DLL                       0x7FFD32230000
IMM32.DLL                          0x7FFD32300000
msvcrt.dll                         0x7FFD32340000
GDI32.dll                          0x7FFD324B0000
SHLWAPI.dll                        0x7FFD324E0000
sechost.dll                        0x7FFD32540000
PSAPI.DLL                          0x7FFD325F0000
ADVAPI32.dll                       0x7FFD32680000
COMDLG32.dll                       0x7FFD32730000
SHELL32.dll                        0x7FFD32830000
ntdll.dll                          0x7FFD33070000
