XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x00006A8A0000
steam_api64.dll                  0x00006A8B0000
RTSSHooks64.dll                  0x000180000000
WINTRUST.DLL                     0x01F0A9D40000
Fallout4.exe                     0x7FF607970000
nvspcap64.dll                    0x7FF9FB830000
usvfs_x64.dll                    0x7FFA03DB0000
nvcuda64.dll                     0x7FFA10580000
d3dcompiler_47_64.dll            0x7FFA11AA0000
NvCamera64.dll                   0x7FFA11EB0000
steamclient64.dll                0x7FFA12700000
IPHLPAPI.DLL                     0x7FFA13C40000
gameoverlayrenderer64.dll        0x7FFA14940000
wsfw_identifier.dll              0x7FFA14C20000
nvwgf2umx.dll                    0x7FFA1B9D0000
XAudio2_7.dll                    0x7FFA275F0000
XDI.dll                          0x7FFA28E20000
RememberPickAngleUpdated.dll     0x7FFA28E90000
WmkActiveEffects.dll             0x7FFA28F90000
PrivateProfileRedirector.dll     0x7FFA29080000
PowerGridTools.dll               0x7FFA290E0000
f4ee.dll                         0x7FFA29150000
Buffout4.dll                     0x7FFA29260000
DINPUT8.dll                      0x7FFA29580000
mcm.dll                          0x7FFA295D0000
place.dll                        0x7FFA299E0000
HighFPSPhysicsFix.dll            0x7FFA2E470000
faster_workshop.dll              0x7FFA2E4E0000
Secur32.dll                      0x7FFA31A40000
MSVCP140.dll                     0x7FFA31DD0000
FallSouls.dll                    0x7FFA34220000
f4pm.dll                         0x7FFA34280000
ESPExplorer.dll                  0x7FFA34640000
Discord_Presence_F4SE.dll        0x7FFA346D0000
ClassicHolsteredWeapons.dll      0x7FFA34770000
BulletCountedReload.dll          0x7FFA34820000
VCRUNTIME140.dll                 0x7FFA352D0000
VCRUNTIME140_1.dll               0x7FFA354B0000
mskeyprotect.dll                 0x7FFA35540000
ncryptsslp.dll                   0x7FFA35560000
DSOUND.DLL                       0x7FFA36BD0000
CCExtenderF4.dll                 0x7FFA37A60000
vertibird_jump.dll               0x7FFA37B10000
BakaScrapHeap.dll                0x7FFA37E20000
tbbmalloc.dll                    0x7FFA37F60000
crafting_highlight_fix.dll       0x7FFA38670000
winmmbase.dll                    0x7FFA3AB10000
BetterConsole.dll                0x7FFA3C7A0000
WeaponDebrisCrashFix.dll         0x7FFA3C890000
tier0_s64.dll                    0x7FFA3CF80000
flexRelease_x64.dll              0x7FFA3D100000
fwpuclnt.dll                     0x7FFA3E3C0000
webio.dll                        0x7FFA3E710000
f4se_1_10_163.dll                0x7FFA3EEF0000
BakaWaitAnywhere.dll             0x7FFA3F3A0000
pppl.dll                         0x7FFA43460000
ConsoleUtilF4.dll                0x7FFA43620000
vstdlib_s64.dll                  0x7FFA43670000
cudart64_75.dll                  0x7FFA43700000
PriorityMod.dll                  0x7FFA437A0000
cc_cleaner.dll                   0x7FFA43820000
Windows.UI.dll                   0x7FFA43960000
NoLockpickActivate.dll           0x7FFA43CF0000
GFSDK_GodraysLib.x64.dll         0x7FFA43D10000
GFSDK_SSAO_D3D11.win64.dll       0x7FFA43D70000
MSVCP110.dll                     0x7FFA43E00000
encounter_zone_recalculation.dll 0x7FFA43F10000
MSVCR110.dll                     0x7FFA43F40000
MSVCP140_ATOMIC_WAIT.dll         0x7FFA441F0000
flexExtRelease_x64.dll           0x7FFA44440000
inputhost.dll                    0x7FFA445F0000
MessageBus.dll                   0x7FFA44B30000
textinputframework.dll           0x7FFA452A0000
WINSPOOL.DRV                     0x7FFA46440000
COMCTL32.dll                     0x7FFA464E0000
fastprox.dll                     0x7FFA4A980000
OLEACC.dll                       0x7FFA4AEB0000
wbemsvc.dll                      0x7FFA4B150000
wbemcomn.dll                     0x7FFA4BE00000
MSIMG32.dll                      0x7FFA4E060000
amsi.dll                         0x7FFA4E300000
WINMM.dll                        0x7FFA4E590000
nvapi64.dll                      0x7FFA4E8F0000
nvldumdx.dll                     0x7FFA4F350000
WINHTTP.dll                      0x7FFA4F700000
dxcore.dll                       0x7FFA4F900000
wbemprox.dll                     0x7FFA51140000
drvstore.dll                     0x7FFA51EF0000
dhcpcsvc.DLL                     0x7FFA520C0000
cryptnet.dll                     0x7FFA52150000
VERSION.dll                      0x7FFA52190000
dhcpcsvc6.DLL                    0x7FFA521A0000
WindowsCodecs.dll                0x7FFA524A0000
WINNSI.DLL                       0x7FFA52660000
twinapi.appcore.dll              0x7FFA52770000
WindowManagementAPI.dll          0x7FFA52A60000
rasadhlp.dll                     0x7FFA52B90000
avrt.dll                         0x7FFA53120000
MMDevApi.dll                     0x7FFA53180000
AUDIOSES.DLL                     0x7FFA532B0000
f4se_steam_loader.dll            0x7FFA53500000
XINPUT9_1_0.dll                  0x7FFA54630000
bink2w64.dll                     0x7FFA54690000
PROPSYS.dll                      0x7FFA54780000
d3d11.dll                        0x7FFA54900000
wintypes.dll                     0x7FFA556D0000
DComp.dll                        0x7FFA55830000
CoreUIComponents.dll             0x7FFA55DA0000
CoreMessaging.dll                0x7FFA56110000
nvToolsExt64_1.dll               0x7FFA56380000
apphelp.dll                      0x7FFA56450000
UxTheme.dll                      0x7FFA566B0000
DbgHelp.dll                      0x7FFA56780000
resourcepolicyclient.dll         0x7FFA56990000
DWMAPI.dll                       0x7FFA56D30000
kernel.appcore.dll               0x7FFA56FA0000
windows.storage.dll              0x7FFA57110000
HID.DLL                          0x7FFA578B0000
dxgi.dll                         0x7FFA578F0000
ntmarta.dll                      0x7FFA57CF0000
schannel.DLL                     0x7FFA57FE0000
rsaenh.dll                       0x7FFA580C0000
UMPDC.dll                        0x7FFA58430000
IpHlpAPI.dll                     0x7FFA58450000
DNSAPI.dll                       0x7FFA584A0000
powrprof.dll                     0x7FFA585C0000
MSWSOCK.dll                      0x7FFA587B0000
CRYPTBASE.DLL                    0x7FFA589A0000
CRYPTSP.dll                      0x7FFA589B0000
Wldp.dll                         0x7FFA58A50000
NTASN1.dll                       0x7FFA58A80000
ncrypt.dll                       0x7FFA58AC0000
msasn1.dll                       0x7FFA58BE0000
devobj.dll                       0x7FFA58DA0000
DPAPI.DLL                        0x7FFA58DF0000
SSPICLI.DLL                      0x7FFA58EB0000
profapi.dll                      0x7FFA58F30000
bcrypt.dll                       0x7FFA59060000
win32u.dll                       0x7FFA59090000
KERNELBASE.dll                   0x7FFA590C0000
msvcp_win.dll                    0x7FFA59390000
ucrtbase.dll                     0x7FFA59430000
cfgmgr32.dll                     0x7FFA595E0000
bcryptPrimitives.dll             0x7FFA59630000
CRYPT32.dll                      0x7FFA596C0000
gdi32full.dll                    0x7FFA59820000
combase.dll                      0x7FFA59930000
SHELL32.dll                      0x7FFA59C90000
msvcrt.dll                       0x7FFA5A590000
ole32.dll                        0x7FFA5A630000
GDI32.dll                        0x7FFA5A760000
KERNEL32.DLL                     0x7FFA5A790000
clbcatq.dll                      0x7FFA5A850000
OLEAUT32.dll                     0x7FFA5A900000
PSAPI.DLL                        0x7FFA5AAB0000
RPCRT4.dll                       0x7FFA5AAC0000
ADVAPI32.dll                     0x7FFA5AC00000
COMDLG32.dll                     0x7FFA5ACB0000
MSCTF.dll                        0x7FFA5AD90000
shcore.dll                       0x7FFA5AF40000
SETUPAPI.dll                     0x7FFA5AFF0000
imagehlp.dll                     0x7FFA5B460000
WS2_32.dll                       0x7FFA5B480000
sechost.dll                      0x7FFA5B4F0000
NSI.dll                          0x7FFA5B590000
IMM32.DLL                        0x7FFA5B5A0000
USER32.dll                       0x7FFA5B5D0000
SHLWAPI.dll                      0x7FFA5B7D0000
ntdll.dll                        0x7FFA5B8D0000
