[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     WorkshopFramework.esm
[0A]     SettlementKeywords.esm
[0B]     Robot Home Defence.esm
[0C]     CWPointLookoutFO4.esm
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     XDI.esm
[10]     TrueStormsFO4.esm
[11]     Homemaker.esm
[12]     EthreonMasterPlan.esm
[13]     NPCScaling.esm
[14]     Darlene.esm
[15]     MutantMenagerie.esm
[16]     PACE.esm
[17]     MK_Agony.esp
[18]     Backpacks of the Commonwealth.esp
[19]     DamnApocalypse_CORE.esm
[1A]     AmmoTweaks_Core.esp
[1B]     DarleneDLC.esp
[1C]     SS2Extended.esp
[1D]     SS2WastelandVenturers.esp
[1E]     [SS20Addon] SimSettlements SuperStructures.esp
[1F]     SS2_FDK_TinyLiving.esp
[20]     SS2-PraRandomAddon.esp
[21]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[22]     JunkTown-FENCES2.esp
[23]     JunkTownTwo.esp
[24]     SimHomestead2.esp
[25]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[26]     SS2-Jampads2.esp
[27]     SS2_ruined_simsettlement_addonpack.esp
[28]     SS2_SIMPDDDD.esp
[29]     InstituteSettlements2.esp
[2A]     SS2_Addon_Favelabulous.esp
[2B]     GtN_SettlersatPlay.esp
[2C]     ss2radiantpower.esp
[2D]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[2E]     [CSR]SS2_Nordhagen_Beach.esp
[2F]     [SS2] BBVault 88.esp
[30]     BOSAirport.esp
[31]     Children_of_Somerville.esp
[32]     Faster Upfront Training SS2.esp
[33]     Fort Tenpines.esp
[34]     Murkwater Paise Atom.esp
[35]     MyCityPlans 1.3.esp
[36]     Sim Settlements 2  - Captain Croup Bar and Dive Entry by Karvoc.esp
[37]     SS2 Sanctuary Green Hills.esp
[38]     SS2_Addon_R2R.esp
[39]     SS2_CityPlan_TheAlley Cabaret.esp
[3A]     SS2CoastalCottage-CSR.esp
[3B]     SettlementMenuManager.esp
[3C]     Snappy_HouseK.esp
[3D]     Snappy_DLC03.esp
[3E]     Thematic and Practical.esp
[3F]     Thematic and Practical - DLC.esp
[40]     Vault-Tec Workshop Overhaul Redux.esp
[41]     Vendor.esp
[42]     WareHouseExt.esp
[43]     BetterJunkFences.esp
[44]     BarnAdd.esp
[45]     WarehouseKit.esp
[46]     woodysWastelandStuff.esp
[47]     WorkshopPlus.esp
[48]     CastleInTheSky.esp
[49]     CleanSettlement Homemaker Greenhouses.esp
[4A]     DLC Timing.esp
[4B]     Better_Settlement_Defence.esp
[4C]     QuickTrade.esp
[4D]     PD_LowerWeapon.esp
[4E]     FO4 NPCs Travel.esp
[4F]     NPCSTRAVELFIXES.esp
[50]     CreativePerksPlus.esp
[51]     UniqueUniques.esp
[52]     RandomValuablesRedux.esp
[53]     Hunkered Down - No AtomCatsGarage.esp
[54]     InstituteReformation.esp
[55]     BoSStory.esp
[56]     1ECHO.esp
[57]     VaultTecStory.esp
[58]     InstituteStory.esp
[59]     Firelance2.5.esp
[5A]     FarHarborStory.esp
[5B]     KellyManor.esp
[5C]     Vault4.esp
[5D]     DCGuard_Overhaul.esp
[5E]     OldTimeReligion.esp
[5F]     ImmersiveCovenantCompound.esp
[60]     Underground RailroadALLDLC.esp
[61]     NukaCola&BeveragePatch.esp
[62]     ChemistRadiationFix.esp
[63]     PersistentVolumeSliders.esp
[64]     TrueGrass.esp
[65]     Another Pine Forest Trees Only.esp
[66]     Pine Trees Redone.esp
[67]     AnimatedCandles.esp
[68]     NukaWorldPlus.esp
[69]     Vivid Weathers - FO4 - Summer.esp
[6A]     CBBE.esp
[6B]     DnxTattoos.esp
[6C]     RutahTattooPack_FO4.esp
[6D]     TCD.esp
[6E]     TCDOverlays.esp
[6F]     TCDM.esp
[70]     TCDOverlaysSET.esp
[71]     ECO.esp
[72]     Sporty Underwear.esp
[73]     512StandaloneHairColors.esp
[74]     The Eyes Of Beauty.esp
[75]     KSHairdos_oel.esp
[76]     ellen.esp
[77]     llamaCompanionHeatherv2.esp
[78]     Wasteland Heroines Replacer_Ellen.esp
[79]     BetterSettlers.esp
[7A]     Eli_Armour_Compendium.esp
[7B]     BetterSettlersCCAPack2.0.esp
[7C]     BetterSettlersCleanFacePack.esp
[7D]     BetterSettlersNoLollygagging.esp
[7E]     Elzee Human Grab Attacks.esp
[7F]     MeleeFinishersRebalance.esp
[80]     NX Encounter Zones - Season Pass.esp
[81]     QuantumCreatures.esp
[82]     Yona_Weapon_DefenseGun.esp
[83]     HuntingShotgun.esp
[84]     CorvalhoWidowShotgun.esp
[85]     CROSS_PlasRail.esp
[86]     WattzLaserGun.esp
[87]     officersRevolver.esp
[88]     EnclaveX02.esp
[89]     Hellfirenew.esp
[8A]     RevolverModificationPack.esp
[8B]     InstituteRifleModificationOverhaul.esp
[8C]     DelivererModPack.esp
[8D]     3dscopes-replacer.esp
[8E]     TeleportGrenade.esp
[8F]     ExcavatorPA.esp
[90]     Vault88 - Essentials.esp
[91]     AttackSpawnsOutsideSettlement.esp
[92]     QuickSwap.esp
[93]     Publick Occurrences Expanded.esp
[94]     Improved Disarm.esp
[95]     ESPExplorerFO4.esp
[96]     InstitWeapPosit.esp
[97]     HotRodderHazmatSuits.esp
[98]     TFRangerGear.esp
[99]     ChineseStealthSuit.esp
